id  Question    Scripture
1   "Why was Arjuna confused?"
2   "Who can attain god?"
3   "Who is God?"
4   "Why should Arjuna fight with his relatives?"
5   "Why was Gandiv slipping?"
6   "What happens to those who destroy family traditions?"
7   "What is hindu dharma and who is the supreme god?"
8   "Is Krishna the ultimate supreme God in santana dharma? What about parmeshar? Isn't he suppossed to be formless?"
9   "If people reincarnate, then how and when do they end up in swarga or narka?""
10  "If god can't be seen, how can we trust him?"
11  "What is the meaning of life?"
12  "Did Ram and Seeta eat meat?"   Ramayana
13  "Was Ravana a genious or a fool?"   Ramayana
14  "Did Ravana misbehave with seeta sexually while abductive?"   Ramayana
15  "Why didn't Laxman's wife follow him when Lakshmana left with Rama and Sita for vanbas? Write the exact phrase where it's mentioned"    Ramayana
16  "what are Ram and Ravana's physical appearance and body measurements ? Who was more powerful?"  Ramayana
17  "Why Rama killed Vali hiding behind a tree when he could have killed him after challenging him for a battle? Isn't it against the ethics of war?"  Ramayana
18  "Who was Ravana's father ?"
19  "Where did Rama live during bananas?"
20  "How was Kumbhakarna killed?"
21  "How do I know what my dharma is ?"
22  "Who is god ?"
23  "How to help self from sinning?"
24  "How can one obtain divine qualities ?"
25  "Who can we trust in despair?"
26  "Who is lord krishna ?"
27  "How can Ram setu be 80 yojanas if the distance between India and lanka is much less?"
